"username","eventid","UID","exportime","eventdate","eventtype","userstatus","eventtitle"
"Embe","1174918201419780147","1174918201419780147-Embe","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Proflex","1174918201419780147","1174918201419780147-Proflex","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Sithicc","1174918201419780147","1174918201419780147-Sithicc","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Gus","1174918201419780147","1174918201419780147-Gus","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Apax","1174918201419780147","1174918201419780147-Apax","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Aea","1174918201419780147","1174918201419780147-Aea","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Jaba","1174918201419780147","1174918201419780147-Jaba","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Kniftty","1174918201419780147","1174918201419780147-Kniftty","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Iny","1174918201419780147","1174918201419780147-Iny","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Sherbe","1174918201419780147","1174918201419780147-Sherbe","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Porf","1174918201419780147","1174918201419780147-Porf","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Remmy","1174918201419780147","1174918201419780147-Remmy","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Hatterz","1174918201419780147","1174918201419780147-Hatterz","11/18/2023 12:15:01 PM","11/21/2023","core","Absence","Tuesday Raid (Optional)"
"KC","1174918201419780147","1174918201419780147-KC","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
"Juked","1174918201419780147","1174918201419780147-Juked","11/18/2023 12:15:01 PM","11/21/2023","core","Present","Tuesday Raid (Optional)"
